DATE,PETR4,VALE5,ITUB4,VALE3,B3SA3,BBDC4,NTCO3,COGN3,BBAS3,ABEV3,SUZB3,PETR3,VVAR3,GMAT3,IRBR3,ITSA4,BVMF3,GNDI3,RAIL3,MGLU3,BRDT3,CIEL3,BRFS3,GGBR4,KROT3,AZUL4,BBSE3,YDUQ3,JBSS3,AMBV4,LREN3,PCAR3,HAPV3,USIM5,PETZ3,OGXP3,UGPA3,RENT3,CCRO3,CSNA3,RDCD3,CMIG4,VIVT4,PCAR4,BRML3,LAME4,RADL3,CRFB3,HYPE3,NEOE3,LWSA3,FIBR3,TIMS3,SBSP3,BOAS3,CYRE3,NATU3,EQTL3,GOAU4,ELET3,BTOW3,BBDC3,WEGE3,CSAN3,CTIP3,GOLL4,QUAL3,EMBR3,ALSO3,ESTC3,MRVE3,TIMP3,BRKM5,EGIE3,PCAR5,SUZB5,MULT3,CNTO3,BRAP4,SMLS3,CVCB3,HBSA3,VIVO4,OIBR3,VIVA3,RUMO3,AEDU3,MRFG3,HGTX3,PDGR3,BIDI4,CPFE3,SMLE3,TOTS3,LJQQ3,CEAB3,CRUZ3,TCSL4,ENBR3,ALLL3,GFSA3,IGTA3,TNLP4,ECOR3,OIBR4,PRIO3,TBLE3,UGPA4,HRTP3,LIGT3,TLPP4,SOMA3,FLRY3,MNDL4,LAVV3,PSSA3,LINX3,TEND3,DTEX3,AMBP3,TRPL4,EZTC3,MOVI3,BRPR3,CURY3,CSMG3,TAMM4,MDIA3,BEEF3,AMBV3,BKBR3,AMIL3,ELPL4,ODPV3,PGMN3,MPXE3,SEQL3,PLPL3,ENEV3,ENAT3,BISA3,MYPK3,SQIA3,POMO4,RAPT4,ECOD3,MTRE3,ARTR3,GETI4,LLXL3,MPLU3,FFTL4,OMGE3,ALPA4,BMGB4,DASA3,EVEN3,LCAM3,SEER3,BRTO4,SIMH3,LAME3,RSID3,SMTO3,PARD3,ARZZ3,MMXM3,CAML3,OHLB3,SLCE3,WIZS3,DMVF3,VLID3,LOGG3,ITUB3,TASA4,KLBN4,MEAL3,STBP3,BPAN4,AMAR3,JHSF3,MDNE3,DROG3,QGEP3,TCSA3,ALSC3,ANIM3,CMIG3,MILS3,SAPR4,MELK3,ABRE3,TCSL3,GRND3,TNLP3,DMMO3,HBOR3,ELPL3,DIRR3,TUPY3,GUAR3,RLOG3,ABCB4,PARC3,IMCH3,RAIA3,LEVE3,BIDI3,TMAR5,JPSA3,TGMA3,AALR3,GETI3,CNFB4,JSLG3,USIM3,VAGR3,CPLE3,LOGN3,BBRK3,BRIN3,PRTX3,OSXB3,PRNR3,LPSB3,ITSA3,TRIS3,MAGG3,BPNM4,BPHA3,POSI3,CGAS5,SEDU3,AUTM3,FESA4,PRML3,INPR3,LLIS3,PMAM3,GGBR3,VULC3,SSBR3,PFRM3,BHGR3,COCE5,ALPK3,PTBL3,FJTA4,TPIS3,DAYC4,CZRS4,CCPR3,VIVT3,UOLL4,BRTO3,KEPL3,PNVL3,TAMM3,SHOW3,TECN3,SLED4,RPMG3,BICB4,TVIT3,ETER3,OGSA3,VIVR3,CCXC3,CARD3,APER3,LUPA3,ROMI3,CTAX4,BEMA3,TELB4,CAMB3,TASA3,RPMG4,AGRO3,UCAS3,TIET4,PDTC3,SCAR3,GSHP3,FHER3,TLPP3,CPRE3,RCSL4,TNCP3,SAPR3,LIQO3,VIVO3,JPSA4,SHUL4,BRAP3,CCIM3,PINE4,OFSA3
2016-01-04,103012.11,61097.40,146703.32,61097.40,18966.75,98955.08,10224.68,15317.58,40803.54,270500.16,20248.08,103012.11,1453.81,,,45127.58,,,2434.66,399.37,,60769.87,47305.50,7113.16,,,45660.00,4401.92,34425.13,,10336.67,10606.74,,2702.96,,,31993.29,4945.38,21451.88,5355.84,,7247.07,57086.00,10606.74,5040.56,,11616.37,,13333.90,,,,16438.81,12405.70,,2910.13,,6552.19,1411.18,8531.63,,98955.08,23634.13,9773.14,,836.85,3771.97,21710.43,1238.07,,3699.68,,16359.94,21318.56,10606.74,20248.08,7142.00,,1591.42,4337.00,1683.16,,,1906.86,,,,3244.26,2333.74,81.17,,14696.61,,5016.80,,,,,5369.20,,892.24,3226.69,,2664.99,1906.86,151.65,,,,1782.38,57086.00,,2383.47,,,9255.88,2080.01,,3760.44,,7069.00,1890.98,,2472.31,,1747.39,,7374.25,2399.92,,,,,4786.97,,,,,2103.01,1480.54,,1087.13,,1527.72,629.30,,,,,,,,,3913.19,,3171.04,940.17,220.61,945.36,1906.86,1371.50,,54.89,5039.75,,1752.53,38.93,,,1594.23,1528.71,,2555.68,,146703.32,61.34,27019.08,349.76,1465.39,1662.98,967.37,630.00,,,,466.20,,1073.12,7247.07,326.55,1654.49,,,,4961.88,,,383.97,,524.62,2759.56,2905.34,413.97,1376.23,,,,3028.08,,,665.12,297.67,,,,,2702.96,,5175.87,123.81,256.48,,,43.76,,254.25,45127.58,200.05,,1662.98,,141.36,4644.66,,,678.89,,,668.24,660.70,7113.16,355.64,,199.24,,2674.18,,305.88,,807.84,,,1029.11,57086.00,,1906.86,403.89,1219.92,,199.13,263.00,139.19,257.23,,,352.63,,10.17,,121.22,100.87,21.32,115.51,33.51,,,,61.34,,637.58,111.03,3615.69,196.12,1264.45,178.75,74.86,57086.00,,6.85,,1654.49,,,665.12,466.09,1591.42,,448.34,1871.80
2016-01-05,100310.38,60347.76,148834.11,60347.76,19692.75,99434.71,10332.49,14959.84,40946.81,274743.91,20312.49,100310.38,1480.25,,,45663.24,,,2312.72,403.37,,63675.35,48204.15,6792.19,,,48580.00,3945.90,32711.01,,11072.71,10806.01,,2596.47,,,32727.75,5068.22,21999.22,5092.21,,7167.67,57248.90,10806.01,5031.29,,12158.20,,13491.96,,,,16317.76,12542.41,,3042.04,,6869.87,1310.95,8685.98,,99434.71,24780.32,9822.01,,781.29,3873.47,21710.43,1238.07,,3770.75,,15820.79,21573.13,10806.01,20312.49,7257.89,,1594.19,3938.25,1681.81,,,1885.61,,,,3098.45,2256.77,82.15,,14895.21,,4992.28,,,,,5650.29,,907.36,3239.06,,2625.89,1885.61,147.69,,,,1759.95,57248.90,,2411.61,,,9537.14,2145.11,,3667.27,,7068.35,1923.97,,2490.21,,1645.66,,7188.19,2484.40,,,,,4988.86,,,,,2103.01,1485.86,,1073.85,106.67,1554.63,626.28,,,,,,,,,3822.42,,3180.39,956.50,228.41,945.36,1885.61,1365.17,,60.89,5036.35,,1764.95,38.93,,,1567.53,1567.09,,2590.65,,148834.11,61.34,25371.88,346.38,1478.71,1718.72,934.71,630.00,,,,469.80,,962.08,7167.67,325.27,1659.38,,,,4931.81,,,396.86,,521.56,2595.20,2789.28,405.86,1354.23,,,,3156.39,,,665.12,301.63,,,,,2596.47,,5103.11,114.64,260.33,,,43.76,,263.41,45663.24,200.83,,1718.72,,145.75,4746.89,,,671.82,,,664.74,667.08,6792.19,333.41,,197.17,,2663.44,,309.05,,792.00,,,1029.11,57248.90,,1885.61,400.47,1246.68,,216.00,263.00,136.34,243.69,,,354.42,,10.17,,121.22,100.67,21.32,117.58,32.32,,256.70,,61.34,,639.91,115.65,3465.52,213.61,1258.67,177.45,72.71,57248.90,,7.00,,1659.38,,,665.12,466.09,1594.19,,442.28,1892.84
2016-01-06,95839.26,55867.60,148103.84,55867.60,19674.60,97844.36,10457.55,15236.27,40946.81,272071.92,20496.54,95839.26,1480.25,,,46120.72,,,2121.69,368.44,,64656.43,47244.43,6224.72,,,48200.00,4281.58,29711.31,,11008.71,10372.92,,2419.25,,,32494.06,5114.81,21699.07,4689.83,,6777.33,56471.56,10372.92,4975.64,,12270.54,,13567.83,,,,16293.55,12132.30,,2926.12,,6909.58,1149.82,8617.10,,97844.36,24215.30,9634.69,,694.48,3854.27,21399.44,1238.83,,3681.92,,16922.95,21253.29,10372.92,20496.54,7257.89,,1495.99,3916.10,1633.46,,,1920.96,,,,3082.82,2296.07,80.18,,14746.26,,5116.52,,,,,5688.40,,880.89,3283.21,,2681.76,1920.96,147.03,,,,1741.60,56471.56,,2399.10,,,9356.10,2201.32,,3740.48,,6892.29,1892.55,,2439.51,,1560.69,,7260.80,2447.92,,,,,5047.30,,,,,2264.78,1451.31,,1068.16,105.73,1591.79,611.04,,,,,,,,,3858.53,,3202.22,933.17,227.76,942.86,1920.96,1424.25,,55.75,5065.82,,1739.22,37.31,,,1621.92,1549.50,,2570.58,,148103.84,61.60,26382.87,353.98,1485.37,1858.08,934.71,624.75,,,,477.00,,920.65,6777.33,317.58,1612.90,,,,4847.61,,,376.24,,493.94,2638.45,2767.44,373.39,1345.76,,,,3117.90,,,665.12,286.45,,,,,2419.25,,5097.36,110.97,266.12,,,40.63,,270.29,46120.72,200.83,,1858.08,,149.26,4709.08,,,680.65,,,668.24,647.93,6224.72,333.41,,197.17,,2668.37,,307.47,,790.24,,,1029.11,56471.56,,1920.96,386.52,1170.57,,205.20,284.19,135.58,257.23,,,349.05,,6.78,,121.22,100.67,18.79,107.95,33.51,,256.70,,61.60,,634.67,111.03,3477.07,212.47,1258.67,175.50,74.32,56471.56,,6.64,,1612.90,,,665.12,462.07,1495.99,,436.22,1992.63
2016-01-07,93343.20,52553.10,145792.97,52553.10,18857.85,95269.51,10047.87,15073.67,39972.57,264841.82,19447.48,93343.20,1408.94,,,45418.87,,,1849.37,319.49,,64901.69,45386.06,5966.81,,,46300.00,4259.41,31425.43,,10829.50,10109.88,,2378.58,,,31186.51,5083.04,20392.53,4578.83,,6344.94,55256.95,10109.88,4957.09,,12429.12,,13346.55,,,,15881.97,11359.93,,2942.11,,6718.97,1079.87,8259.85,,95269.51,23521.12,9528.82,,649.34,3771.97,20932.95,1238.07,,3664.15,,16546.76,20757.20,10109.88,19447.48,7067.90,,1404.25,3908.71,1626.74,,,1963.74,,,,2952.64,2292.80,79.69,,14150.45,,4982.48,,,,,5335.85,,884.67,3228.46,,2536.49,1963.74,148.35,,,,1753.83,55256.95,,2402.23,,,8971.38,2156.82,,3627.33,,6742.28,1884.70,,2424.60,,1436.21,,7046.38,2325.04,,,,,4909.16,,,,,2264.78,1427.38,,1071.96,106.08,1568.30,592.85,,,,,,,,,3876.84,,3211.57,933.17,226.46,1035.51,1963.74,1529.75,,49.74,5184.81,,1793.34,35.69,,,1607.08,1543.11,,2505.18,,145792.97,74.04,25950.44,346.38,1530.67,1848.79,910.22,635.25,,,,473.40,,928.93,6344.94,309.90,1659.38,,,,4883.69,,,381.40,,474.00,2637.01,2695.99,349.04,1342.38,,,,3079.40,,,713.31,256.75,,,,,2378.58,,4851.18,97.21,266.12,,,40.63,,276.01,45418.87,200.83,,1848.79,,150.14,4688.43,,,660.04,,,622.76,670.27,5966.81,333.41,,194.26,,2639.64,,302.71,,790.24,,,1029.11,55256.95,,1963.74,371.53,1174.61,,211.95,274.77,130.65,257.23,,,343.68,,10.17,,116.62,100.36,20.01,105.20,30.06,,256.07,,74.04,,628.85,110.36,3234.49,208.22,1213.06,173.55,73.78,55256.95,,7.65,,1659.38,,,713.31,461.34,1404.25,,436.22,1955.41
2016-01-08,93622.50,50531.61,146920.27,50531.61,19093.80,94259.77,9802.07,14228.11,39972.57,268299.69,19079.39,93622.50,1408.94,,,45600.70,,,1747.75,320.83,,66033.70,46258.53,6127.27,,,47180.00,4006.07,31996.80,,10803.90,10022.20,,2439.32,,,31687.27,5083.04,20304.25,4745.33,,6093.28,53705.97,10022.20,4998.83,19360.62,12330.01,,13340.22,,,,15010.40,11496.64,,2998.07,,6810.30,1110.16,8022.69,,94259.77,23408.12,9528.82,,621.56,3750.02,21006.99,1244.18,,3668.59,,16462.51,20463.47,10022.20,19079.39,7115.40,,1372.07,3781.95,1632.11,,,1900.46,,,,3072.41,2253.49,94.45,,14110.73,,4993.92,,,,,5526.42,,865.77,3276.14,,2413.58,1900.46,141.76,,,,1715.09,53705.97,,2411.61,,,8803.27,2163.38,,3700.54,,6842.93,1931.82,,2451.44,,1472.12,,7147.35,2294.32,,,,,4930.42,,,,,2264.78,1440.67,,1098.52,104.32,1568.30,570.45,,,,,,,,,3988.60,,3214.69,935.51,223.86,957.88,1900.46,1550.85,19360.62,51.46,5156.48,,1818.19,37.31,,,1589.28,1565.49,,2499.35,,146920.27,74.91,25863.96,353.98,1485.37,1746.60,918.39,635.25,,,,469.80,,857.67,6093.28,318.86,1632.47,,,,5064.12,,,435.51,,500.08,2652.87,2684.45,332.80,1323.76,,,,3155.11,,,713.31,245.53,,,,,2439.32,,4677.40,96.30,268.05,,,43.76,,281.74,45600.70,200.83,,1746.60,,143.99,4689.67,,,662.40,,,615.76,644.74,6127.27,326.01,,188.87,,2628.03,,302.71,,792.00,,,1029.11,53705.97,,1900.46,379.16,1178.76,,222.75,287.33,124.01,243.69,,,349.05,,10.17,,117.04,100.61,18.88,103.82,30.06,,255.44,32.00,74.91,,635.83,106.40,3234.49,211.65,1224.03,172.25,71.63,53705.97,,6.94,,1632.47,,,713.31,458.41,1372.07,,436.22,1993.17
2016-01-11,90530.24,48998.86,144211.35,48998.86,19057.50,92038.33,9780.51,14146.81,38826.40,264055.94,18610.08,90530.24,1356.47,,,44826.21,,,1666.46,320.83,,62920.68,45176.67,5961.10,,,45700.00,4116.91,32625.31,,10496.68,9769.78,,2484.86,,,30852.66,5091.51,20074.73,4675.96,,6093.07,53922.48,9769.78,5031.29,19552.47,12313.49,,13264.35,,,,14526.19,11790.55,,2994.07,,6798.39,1095.06,7884.50,3728.54,92038.33,22875.38,9545.10,,586.84,3881.70,20925.54,1237.30,,3735.21,,16818.00,20496.10,9769.78,18610.08,7303.49,,1332.07,3613.34,1660.32,,,1875.69,,,,3124.48,2224.01,91.50,,14160.38,,4702.95,,,,,5545.48,,880.89,3325.60,,2419.17,1875.69,135.83,,,,1682.46,53922.48,,2397.54,,,8389.45,2189.61,,3673.92,,6863.25,1947.53,,2415.65,,1388.34,,6875.07,2338.48,,,,,4941.04,,,,,2103.01,1291.82,,1087.13,104.91,1505.95,571.50,,,,,,,,,4007.53,,3217.81,933.17,218.00,926.58,1875.69,1645.80,19552.47,51.46,5132.68,,1712.59,37.31,,,1582.36,1551.10,,2312.22,,144211.35,75.43,22629.22,353.98,1489.37,1672.27,922.47,630.00,,,,468.00,,828.66,6093.07,320.14,1632.47,,,,4847.61,,,412.32,,520.02,2559.15,2633.90,328.74,1303.44,,,,3182.05,,,732.59,231.67,,,,,2484.86,,4650.64,88.96,283.47,,,40.63,,282.88,44826.21,203.99,,1672.27,,145.75,4562.88,,,671.23,,,626.25,644.74,5961.10,348.23,,180.98,,2599.01,,309.05,,792.00,,,1029.11,53922.48,,1875.69,377.58,1196.30,,222.08,278.70,118.31,243.69,,,343.68,,10.17,,114.95,99.79,18.88,103.14,32.32,,254.39,31.61,75.43,,622.44,109.04,2887.93,212.47,1213.06,175.50,68.94,53922.48,,6.24,,1632.47,,,732.59,458.05,1332.07,,439.85,1952.71
2016-01-12,83076.48,44990.69,144484.47,44990.69,18930.45,92114.06,9836.57,13691.51,37479.65,266885.11,18812.53,83076.48,1343.36,,,44545.26,,,1605.49,302.59,,63147.08,43859.23,5812.09,,,46460.00,3974.40,31711.11,,10739.89,9286.21,,2297.74,,,31069.66,4782.29,20657.37,4551.08,,6210.57,53867.71,9286.21,4938.54,19384.29,12505.11,,13687.95,,,,14695.67,12063.95,,3014.06,,6846.04,1058.55,8070.94,3782.58,92114.06,23892.42,9036.09,,559.06,3892.67,21399.44,1222.78,,3815.16,,16194.34,20567.91,9286.21,18812.53,7257.89,,1221.80,3716.72,1679.13,,,1925.60,,,,3041.16,2129.03,89.04,,13971.71,,4863.15,,,,,5516.89,,858.21,3284.98,,2469.45,1925.60,120.00,,,,1631.47,53867.71,,2347.53,,,8703.05,2166.19,,3660.61,,6913.27,1912.97,,2442.49,,1376.37,,7054.32,2332.72,,,,,4877.29,,,,,2103.01,1270.56,,1053.93,103.37,1511.50,576.47,,,,,,,,,4007.53,,3224.04,935.51,221.26,900.28,1925.60,1683.78,19384.29,51.46,5247.14,,1743.65,35.69,,,1587.30,1655.04,,2270.78,,144484.47,75.43,22223.67,346.38,1494.70,1588.66,928.59,630.00,,,,455.40,,788.06,6210.57,313.74,1617.79,,,,5049.09,,,391.70,,521.56,2609.61,2497.87,312.51,1305.14,,,,3129.44,,,732.59,224.41,,,,,2297.74,,4692.92,89.88,283.47,,,40.63,,303.50,44545.26,200.83,,1588.66,,143.99,4556.17,,,636.49,,,619.26,622.40,5812.09,311.19,,173.92,,2599.01,,301.13,,760.32,,,1029.11,53867.71,,1925.60,356.79,1195.19,,221.40,270.85,112.62,230.15,,,336.52,,10.17,,113.70,103.51,18.79,103.82,26.60,,389.77,30.84,75.43,,620.11,105.74,2968.80,211.98,1210.17,173.55,71.09,53867.71,,5.64,,1617.79,,,732.59,454.76,1221.80,,442.28,1947.32
2016-01-13,80131.45,43225.68,144732.09,43225.68,18894.15,91306.26,9832.26,13284.99,36791.95,264527.46,18536.46,80131.45,1323.68,,,44524.59,,,1353.49,300.58,,61958.48,43257.22,5468.21,,,46080.00,3958.56,31025.47,,10778.30,8741.52,,2191.24,,,30607.84,4809.83,20586.75,4440.08,,6013.37,53961.06,8741.52,5031.29,18867.96,12495.20,,13719.57,,,,14647.25,12385.20,,3034.05,,6869.86,982.55,7933.55,3803.17,91306.26,23004.53,9365.93,,500.03,3854.27,20918.14,1222.78,,3730.77,,16202.82,20463.47,8741.52,18536.46,7318.69,,1130.37,3573.96,1650.92,,,1795.15,,,,2983.88,2196.17,88.05,,14150.45,,4895.84,,,,,5335.85,,854.43,3311.47,,2391.23,1795.15,118.68,,,,1562.14,53961.06,,2352.21,,,8680.42,2166.19,,3660.61,,6905.17,1931.82,,2358.99,,1341.66,,6960.16,2286.64,,,,,4834.78,,,,,2103.01,1305.11,,1040.65,100.31,1552.50,562.26,,,,,,,,,4024.95,,3217.81,940.17,218.00,901.54,1795.15,1688.00,18867.96,49.74,5382.00,,1756.96,37.31,,,1582.36,1648.64,,2331.00,,144732.09,75.30,22547.74,341.31,1500.03,1662.98,938.80,572.25,,,,444.60,,801.32,6013.37,307.34,1632.47,,,,4901.74,,,376.24,,516.95,2652.87,2483.52,275.98,1300.06,,,,3134.58,,,732.59,217.81,,,,,2191.24,,4561.96,85.29,287.33,,,40.63,,309.23,44524.59,202.41,,1662.98,,142.24,4517.00,,,649.45,,,612.26,600.05,5468.21,303.78,,171.02,,2599.01,,297.96,,774.40,,,1029.11,53961.06,,1795.15,300.48,1209.85,,215.33,266.92,112.62,203.07,,,327.57,,6.78,,114.53,104.55,18.79,101.76,27.66,,280.07,29.30,75.30,,608.47,110.36,3453.97,211.65,1195.16,170.95,73.25,53961.06,,5.78,,1632.47,,,732.59,452.20,1130.37,,442.28,1982.92
2016-01-14,85684.57,46289.87,145551.24,46289.87,19293.45,93149.05,9810.69,13967.94,38855.05,264841.82,18002.73,85684.57,1320.25,,,44753.33,,,1060.84,315.71,,61505.67,43196.15,5582.81,,,47600.00,3952.23,30425.53,,10707.89,9185.24,,2211.39,,,31253.27,4894.55,20569.09,4578.83,,5908.42,54841.81,9185.24,5193.59,18949.19,12587.71,,13403.45,,,,14889.35,12460.39,,2978.08,,6720.95,1000.72,7806.26,3682.23,93149.05,23020.67,9414.80,,454.89,3837.81,20814.47,1245.71,,3730.77,,15998.02,20071.82,9185.24,18002.73,7364.29,,1179.31,3532.12,1680.47,,,1676.02,,,,3004.71,2132.30,89.53,,14120.66,,4854.97,,,,,5364.44,,850.65,3360.92,,2346.54,1676.02,124.62,,,,1592.73,54841.81,,2352.21,,,8635.16,2257.52,,3594.05,,6880.01,1931.82,,2385.83,,1376.37,,6931.79,2202.17,,,,,4887.91,,,,,1941.24,1294.48,,1040.65,103.73,1571.72,533.83,,,,,,,,,4106.96,,3205.33,940.17,222.56,900.28,1676.02,1637.36,18949.19,47.17,5315.14,,1752.53,35.69,,,1629.83,1599.07,,2331.00,,145551.24,75.30,22479.07,337.93,1468.05,1709.43,985.74,577.50,,,,432.00,,844.41,5908.42,300.94,1639.81,,,,4811.52,,,383.97,,507.75,2592.31,2362.15,263.81,1347.46,,,,3028.08,,,732.59,231.67,,,,,2211.39,,4426.08,82.54,312.40,,,40.63,,314.95,44753.33,210.29,,1709.43,,138.72,4509.92,,,640.61,,,622.76,561.75,5582.81,311.19,,171.02,,2599.01,,288.45,,781.44,,,1029.11,54841.81,,1676.02,299.96,1238.71,,215.33,261.43,116.42,189.54,,,323.99,,6.78,,114.95,103.46,15.50,97.64,24.20,,208.45,29.30,75.30,,608.47,105.74,3407.76,210.51,1184.77,170.95,73.25,54841.81,,6.09,,1639.81,,,732.59,450.01,1179.31,,442.28,1985.62
2016-01-15,78901.43,44922.82,141505.18,44922.82,18894.15,89917.86,9810.69,13854.11,37365.04,260755.24,18251.19,78901.43,1313.69,,,43724.13,,,1219.36,320.38,,61807.54,41922.34,5416.56,,,45600.00,3895.23,29597.04,,10618.29,9432.34,,2054.50,,,31047.40,4739.94,19951.13,4398.45,,5757.36,53405.19,9432.34,5212.13,18970.52,12604.23,,13258.03,,,,14380.93,12098.13,,2898.14,,6601.82,988.60,7882.10,3780.01,89917.86,22794.66,9284.49,,441.00,3810.38,19992.56,1241.89,,3686.36,,15977.32,19419.08,9432.34,18251.19,7381.39,,1139.45,3409.05,1641.52,,,1629.63,,,,2916.19,2178.16,86.09,,14061.08,,4740.55,,,,,5369.20,,820.40,3443.93,,2273.91,1629.63,131.87,,,,1615.16,53405.19,,2344.40,,,8395.92,2243.47,,3547.46,,6837.43,1916.11,,2442.49,,1339.27,,6738.93,2150.33,,,,,4887.91,,,,,1941.24,1204.11,,985.63,104.79,1578.55,533.83,,,,,,,,,3967.47,,3211.57,942.51,218.00,900.28,1629.63,1645.80,18970.52,43.74,5264.14,,1730.34,35.69,,,1617.96,1583.08,,2248.12,,141505.18,76.90,22450.24,327.79,1466.72,1700.14,983.69,567.00,,,,432.00,,843.58,5757.36,302.22,1632.47,,,,4736.34,,,386.55,,498.55,2544.73,2301.00,259.75,1335.61,,,,3026.80,,,732.59,244.21,,,,,2054.50,,4297.40,78.87,327.83,,,40.63,,314.95,43724.13,202.41,,1700.14,,136.09,4537.80,,,644.74,,,619.26,542.60,5416.56,311.19,,168.53,,2588.86,,285.28,,792.00,,,1029.11,53405.19,,1629.63,305.22,1258.75,,216.68,255.93,113.00,189.54,,,322.20,,10.17,,112.86,104.23,15.78,92.82,20.75,,325.96,30.46,76.90,,605.56,105.74,3465.52,203.31,1143.20,170.95,70.01,53405.19,,5.84,,1632.47,,,732.59,445.26,1139.45,,442.28,1952.17
